domain,organism_name,location_temp,total_count
2CSK_N,Timeviella sp.,Antarctic,3
AAA,Scytolyngbya sp. HA4215-MV1,temperate,7
AAA,Scytonematopsis contorta HA4267-MV1,temperate,6
AP2,Cyanocohniella sp. LLY,temperate,3
Arch_ATPase,Aetokthonos hydrillicola CCALA 1050,temperate,13
Arch_ATPase,Anabaena sp. 49628_E55,temperate,7
Arch_ATPase,Anabaena sp. 54,"cold, non-Antarctic",5
Arch_ATPase,Anabaena sp. CoA2_C59,temperate,7
Arch_ATPase,Aphanizomenon flos-aquae CP01,temperate,7
Arch_ATPase,Aphanizomenon flos-aquae Clear-A1,temperate,7
Arch_ATPase,Aphanizomenon flos-aquae DEX188,temperate,7
Arch_ATPase,Aphanizomenon flos-aquae UKL13-PB,temperate,7
Arch_ATPase,Argonema antarcticum A004/B2,Antarctic,10
Arch_ATPase,Argonema galeatum A003/A1,Antarctic,9
Arch_ATPase,Brasilonema angustatum HA4187-MV1,temperate,5
Arch_ATPase,Calothrix sp. 336/3,temperate,10
Arch_ATPase,Calothrix sp. PCC 7507,temperate,9
Arch_ATPase,Cyanomargarita calcarea GSE-NOS-MK-12-04C,temperate,9
Arch_ATPase,Desmonostoc vinosum HA7617-LM4,temperate,9
Arch_ATPase,Fischerella major NIES-592,temperate,5
Arch_ATPase,Hapalosiphonaceae cyanobacterium JJU2,temperate,6
Arch_ATPase,Hormoscilla sp. SP12CHS1,temperate,5
Arch_ATPase,Leptolyngbya sp. SIOISBB,temperate,5
Arch_ATPase,Limnoraphis sp. WC205,temperate,5
Arch_ATPase,Lusitaniella coriacea LEGE 07157,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_01_SCD_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_02_FOX_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_05_CCC_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_07_MST_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_08_TRC_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_09_SFU_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_10_PVI_O_A,temperate,14
Arch_ATPase,Microcoleus sp. PH2017_11_PCY_U_A,temperate,14
Arch_ATPase,Microcoleus sp. PH2017_12_PCY_D_A,temperate,14
Arch_ATPase,Microcoleus sp. PH2017_13_LAR_U_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_14_LAR_D_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_15_JOR_U_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_16_JOR_D_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_17_BER_D_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_18_LLB_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_19_SFW_U_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_20_SFW_D_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_21_RUC_O_A,temperate,14
Arch_ATPase,Microcoleus sp. PH2017_22_RUC_O_B,temperate,14
Arch_ATPase,Microcoleus sp. PH2017_24_DOB_U_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_25_DOB_D_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_26_ELK_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_27_LUM_O_A,temperate,14
Arch_ATPase,Microcoleus sp. PH2017_28_MFU_U_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_29_MFU_D_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_30_WIL_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_31_RDM_U_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_32_RDM_D_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_33_LGB_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_34_RAT_O_A,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_35_SFW_U_B,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_36_ELK_O_B,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_37_MFU_D_B,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_38_RDM_U_B,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_39_LGB_O_B,temperate,5
Arch_ATPase,Microcoleus sp. PH2017_40_RAT_O_B,temperate,5
Arch_ATPase,Microcoleus vaginatus FGP-2,temperate,4
Arch_ATPase,Microcoleus vaginatus HSN003,temperate,15
Arch_ATPase,Microcoleus vaginatus PCC 9802,temperate,3
Arch_ATPase,Microcoleus vaginatus WJT46-NPBG5,temperate,5
Arch_ATPase,Nodularia sphaerocarpa UHCC 0038,temperate,5
Arch_ATPase,Nodularia spumigena CCY9414,temperate,5
Arch_ATPase,Nodularia spumigena CENA596,temperate,5
Arch_ATPase,Nostoc desertorum CM1-VF14,temperate,6
Arch_ATPase,Nostoc minutum NIES-26,temperate,11
Arch_ATPase,Nostoc sp. ATCC 53789,temperate,15
Arch_ATPase,Nostoc sp. CENA543,temperate,11
Arch_ATPase,Nostoc sp. GBBB01,temperate,11
Arch_ATPase,Nostoc sp. LEGE 06077,temperate,14
Arch_ATPase,Nostoc sp. LEGE 12447,temperate,5
Arch_ATPase,Nostoc sp. LEGE 12450,temperate,14
Arch_ATPase,Nostoc sp. MBR 210,temperate,15
Arch_ATPase,Nostoc sp. NMS8,temperate,13
Arch_ATPase,Nostoc sp. RF31YmG,temperate,16
Arch_ATPase,Nostoc sp. UHCC 0702,temperate,11
Arch_ATPase,Nostocales cyanobacterium LEGE 11386,temperate,4
Arch_ATPase,Nostocales cyanobacterium LEGE 12452,temperate,4
Arch_ATPase,Okeania sp. SIO1I7,temperate,5
Arch_ATPase,Okeania sp. SIO3I5,temperate,16
Arch_ATPase,Oscillatoria princeps RMCB-10,"cold, non-Antarctic",10
Arch_ATPase,Oscillatoria sp. SIO1A7,temperate,5
Arch_ATPase,Oscillatoriales cyanobacterium,temperate,14
Arch_ATPase,Oscillatoriales cyanobacterium CG2_30_40_61,temperate,11
Arch_ATPase,Phormidium sp. BM_Day4_Bin.17,temperate,5
Arch_ATPase,Phormidium sp. LEGE 05292,temperate,16
Arch_ATPase,Phormidium sp. PBR-2020,temperate,5
Arch_ATPase,Phormidium sp. SL48-SHIP,temperate,4
Arch_ATPase,Phormidium tanganyikae FI6-MK23,temperate,4
Arch_ATPase,Planktothrix mougeotii LEGE 06226,temperate,7
Arch_ATPase,Plectolyngbya sp. WJT66-NPBG17,temperate,4
Arch_ATPase,Pseudanabaena biceps PCC 7429,temperate,6
Arch_ATPase,Pseudanabaena sp. 'Roaring Creek',temperate,6
Arch_ATPase,Pseudanabaena sp. BC1403,"cold, non-Antarctic",5
Arch_ATPase,Pseudanabaena sp. UWO310,temperate,6
Arch_ATPase,Rivularia sp. (in: Bacteria),temperate,10
Arch_ATPase,Rivularia sp. PCC 7116,temperate,5
Arch_ATPase,Roseofilum reptotaenium AO1-A,temperate,14
Arch_ATPase,Roseofilum sp. SBFL,temperate,13
Arch_ATPase,Scytonematopsis contorta HA4267-MV1,temperate,10
Arch_ATPase,Sphaerospermopsis sp. LEGE 00249,temperate,5
Arch_ATPase,Sphaerospermopsis sp. LEGE 08334,temperate,5
Arch_ATPase,Sphaerospermopsis torques-reginae ITEP-024,temperate,5
Arch_ATPase,Spirirestis rafaelensis WJT71-NPBG6,temperate,6
Arch_ATPase,Spirulina major CCY15215,temperate,5
Arch_ATPase,Stenomitos frigidus ULC18,Antarctic,4
Arch_ATPase,Stigonema ocellatum SAG 48.90 = DSM 106950,temperate,14
Arch_ATPase,Trichocoleus desertorum ATA4-8-CV12,temperate,6
Arch_ATPase,Trichormus sp. ATA11-4-KO1,temperate,9
Arch_ATPase,Trichormus sp. M33_DOE_039,temperate,16
Arch_ATPase,Tychonema sp. LEGE 06208,temperate,11
Arch_ATPase,Tychonema sp. LEGE 07203,temperate,4
Arch_ATPase,filamentous cyanobacterium Phorm 6,"cold, non-Antarctic",5
CBS,Aetokthonos hydrillicola CCALA 1050,temperate,26
CBS,Alkalinema sp. CACIAM 70d,temperate,43
CBS,Anabaena sp. 49628_E55,temperate,24
CBS,Anabaena sp. 54,"cold, non-Antarctic",12
CBS,Anabaena sp. AL93,temperate,12
CBS,Anabaena sp. CRKS33,temperate,13
CBS,Anabaena sp. CoA2_C59,temperate,8
CBS,Anabaena sp. WA113,temperate,8
CBS,Aphanizomenon flos-aquae CP01,temperate,8
CBS,Aphanizomenon flos-aquae Clear-A1,temperate,8
CBS,Aphanizomenon flos-aquae DEX188,temperate,8
CBS,Aphanizomenon flos-aquae KM1D3_PB,temperate,12
CBS,Aphanizomenon flos-aquae LD13,temperate,8
CBS,Aphanizomenon flos-aquae MDT14a,temperate,8
CBS,Aphanizomenon flos-aquae UKL13-PB,temperate,8
CBS,Argonema antarcticum A004/B2,Antarctic,27
CBS,Argonema galeatum A003/A1,Antarctic,10
CBS,Arthrospira sp. PLM2.Bin9,temperate,41
CBS,Arthrospira sp. SH-MAG29,temperate,29
CBS,Brasilonema angustatum HA4187-MV1,temperate,8
CBS,Brasilonema octagenarum HA4186-MV1,temperate,11
CBS,Calothrix elsteri CCALA 953,Antarctic,10
CBS,Calothrix sp. 336/3,temperate,31
CBS,Calothrix sp. CSU_2_0,temperate,15
CBS,Calothrix sp. FI2-JRJ7,temperate,4
CBS,Calothrix sp. PCC 7507,temperate,29
CBS,Cyanocohniella sp. LLY,temperate,27
CBS,Cyanomargarita calcarea GSE-NOS-MK-12-04C,temperate,39
CBS,Cylindrospermopsis raciborskii KL1,temperate,12
CBS,Desmonostoc vinosum HA7617-LM4,temperate,18
CBS,Dolichospermum sp. BR01,temperate,12
CBS,Dolichospermum sp. DET50,temperate,12
CBS,Dolichospermum sp. DET66,temperate,12
CBS,Dolichospermum sp. DET67,temperate,12
CBS,Dolichospermum sp. DET69,temperate,12
CBS,Dolichospermum sp. DET73,temperate,13
CBS,Dolichospermum sp. DEX182a,temperate,13
CBS,Dolichospermum sp. DEX189,temperate,12
CBS,Dolichospermum sp. DL01,temperate,12
CBS,Dolichospermum sp. LBC05a,temperate,10
CBS,Dolichospermum sp. OL01,temperate,13
CBS,Dolichospermum sp. OL03,temperate,13
CBS,Dolichospermum sp. UHCC 0259,temperate,43
CBS,Dolichospermum sp. UHCC 0260,temperate,13
CBS,Dolichospermum sp. UHCC 0299,temperate,7
CBS,Dolichospermum sp. UHCC 0315A,"cold, non-Antarctic",13
CBS,Dolichospermum sp. UHCC 0352,"cold, non-Antarctic",8
CBS,Dolichospermum sp. UHCC 0406,"cold, non-Antarctic",8
CBS,Dolichospermum sp. UKL201,temperate,12
CBS,Dolichospermum sp. WA123,temperate,12
CBS,Fischerella major NIES-592,temperate,13
CBS,Fischerella sp.,temperate,14
CBS,Fischerella sp. CENA71,temperate,31
CBS,Fortiea contorta PCC 7126,temperate,22
CBS,Gloeotrichia echinulata DEX184,temperate,30
CBS,Hapalosiphonaceae cyanobacterium JJU2,temperate,12
CBS,Kamptonema sp. SIO1D9,temperate,47
CBS,Kastovskya adunca ATA6-11-RM4,temperate,24
CBS,Leptolyngbya foveolarum,Antarctic,12
CBS,Leptolyngbya sp. DLM2.Bin15,temperate,25
CBS,Leptolyngbya sp. SIOISBB,temperate,50
CBS,Leptolyngbya sp. UWPOB_LEPTO1,temperate,6
CBS,Leptolyngbyaceae cyanobacterium RM1_1_2,temperate,30
CBS,Limnoraphis sp. WC205,temperate,35
CBS,Limnospira fusiformis KN01,temperate,55
CBS,Limnospira indica BM01,temperate,55
CBS,Limnothrix sp. CACIAM 69d,temperate,34
CBS,Limnothrix sp. P13C2,temperate,36
CBS,Lusitaniella coriacea LEGE 07157,temperate,19
CBS,Lyngbya sp. HA4199-MV5,temperate,6
CBS,Microcoleus sp. PH2017_01_SCD_O_A,temperate,41
CBS,Microcoleus sp. PH2017_02_FOX_O_A,temperate,41
CBS,Microcoleus sp. PH2017_05_CCC_O_A,temperate,52
CBS,Microcoleus sp. PH2017_07_MST_O_A,temperate,40
CBS,Microcoleus sp. PH2017_08_TRC_O_A,temperate,41
CBS,Microcoleus sp. PH2017_09_SFU_O_A,temperate,41
CBS,Microcoleus sp. PH2017_10_PVI_O_A,temperate,40
CBS,Microcoleus sp. PH2017_11_PCY_U_A,temperate,40
CBS,Microcoleus sp. PH2017_12_PCY_D_A,temperate,40
CBS,Microcoleus sp. PH2017_13_LAR_U_A,temperate,41
CBS,Microcoleus sp. PH2017_14_LAR_D_A,temperate,41
CBS,Microcoleus sp. PH2017_15_JOR_U_A,temperate,52
CBS,Microcoleus sp. PH2017_16_JOR_D_A,temperate,41
CBS,Microcoleus sp. PH2017_17_BER_D_A,temperate,52
CBS,Microcoleus sp. PH2017_18_LLB_O_A,temperate,41
CBS,Microcoleus sp. PH2017_19_SFW_U_A,temperate,41
CBS,Microcoleus sp. PH2017_20_SFW_D_A,temperate,41
CBS,Microcoleus sp. PH2017_21_RUC_O_A,temperate,40
CBS,Microcoleus sp. PH2017_22_RUC_O_B,temperate,40
CBS,Microcoleus sp. PH2017_24_DOB_U_A,temperate,52
CBS,Microcoleus sp. PH2017_25_DOB_D_A,temperate,52
CBS,Microcoleus sp. PH2017_26_ELK_O_A,temperate,51
CBS,Microcoleus sp. PH2017_27_LUM_O_A,temperate,40
