domain,p_value,p_adj
CBS,0.004826373935769299,0.18849733054312548
MASE1,0.012172118777684631,0.18849733054312548
CHASE4,0.013792487600716498,0.18849733054312548
Guanylate_cyc,0.07424168667023419,0.7609772883699004
HAMP,0.19120260832023872,0.9173918583886016
PAC,0.20771565553588406,0.9173918583886016
Fez1,0.2228009911811343,0.9173918583886016
CheW,0.2632612229505253,0.9173918583886016
H-kinase_dim,0.32511355885198395,0.9173918583886016
CHASE2,0.3324453174038796,0.9173918583886016
HisKA_2,0.333337364990903,0.9173918583886016
V4R,0.3457785861511602,0.9173918583886016
bZIP_2,0.3492500602537856,0.9173918583886016
PAS_2,0.3555751787691142,0.9173918583886016
Trans_reg_C,0.3742770666553172,0.9173918583886016
Hpt,0.38041614312347033,0.9173918583886016
S_TKc,0.3875722763592653,0.9173918583886016
PAS_3,0.40275740124377635,0.9173918583886016
CHASE3,0.4655556515401952,0.9226673448214758
bZIP_1,0.46601845907178696,0.9226673448214758
PAS,0.4756713156527009,0.9226673448214758
HisKA,0.5706437562295055,0.9226673448214758
Cache_1,0.5829137432312497,0.9226673448214758
CHASE,0.5888818102867236,0.9226673448214758
PHY,0.5911348842972948,0.9226673448214758
HATPase_c,0.6104193679383214,0.9226673448214758
GAF,0.6321057714818161,0.9226673448214758
TPR_2,0.6348729937298766,0.9226673448214758
PAS_4,0.6956123512182425,0.9226673448214758
Response_reg,0.7096077761826449,0.9226673448214758
MHYT,0.7107191623368446,0.9226673448214758
EAL,0.7811017040148913,0.9226673448214758
Pkinase,0.799344490948762,0.9226673448214758
CYCc,0.8057810560917997,0.9226673448214758
cNMP_binding,0.8127094555169966,0.9226673448214758
Arch_ATPase,0.8377573664746425,0.9226673448214758
HisKA_3,0.8395214599843821,0.9226673448214758
CheB_methylest,0.8758273001587393,0.9226673448214758
MeTrc,0.8776591816594526,0.9226673448214758
REC,0.9089486202476427,0.9316723357538337
GGDEF,1,1
2CSK_N,NA,NA
AAA,NA,NA
AP2,NA,NA
CheR,NA,NA
FHA,NA,NA
HDOD,NA,NA
HTH_3,NA,NA
HWE_HK,NA,NA
His_kinase,NA,NA
Histone_HNS,NA,NA
PBPb,NA,NA
PSK_trans_fac,NA,NA
PfkB,NA,NA
PspC,NA,NA
Pyr_redox,NA,NA
SBP_bac_3,NA,NA
SpoIIE,NA,NA
TPR_1,NA,NA
YcbB,NA,NA
