comparison,z_value,p_adj,type,column
"Antarctic - cold, non-Antarctic",4.141703080913377,5.171046640626877e-5,CheY,aa_proline_count_prop
Antarctic - temperate,2.553218046212848,0.016009898272788477,CheY,aa_proline_count_prop
"cold, non-Antarctic - temperate",-3.880303341265873,1.5648940458402367e-4,CheY,aa_proline_count_prop
"Antarctic - cold, non-Antarctic",-2.639642294609828,0.012449036131143643,Classic,aa_proline_count_prop
Antarctic - temperate,4.571953438880401,7.247974851280849e-6,Classic,aa_proline_count_prop
"cold, non-Antarctic - temperate",13.42274683479253,6.673671486427212e-41,Classic,aa_proline_count_prop
Antarctic - temperate,2.3312903525334137,0.029607081885521195,OmpR,aa_proline_count_prop
"cold, non-Antarctic - temperate",2.4755460172689605,0.019954892517257367,OmpR,aa_proline_count_prop
"cold, non-Antarctic - temperate",-2.550269611670324,0.01614594618405983,unclassified,aa_proline_count_prop
"cold, non-Antarctic - temperate",-5.222500118744011,2.647851660573814e-7,HPt,aa_proline_count_prop
"cold, non-Antarctic - temperate",3.6901958156399908,3.361222427963091e-4,CheA,aa_proline_count_prop
"Antarctic - cold, non-Antarctic",7.735229056288853,1.5482564585022683e-14,PleD,aa_proline_count_prop
Antarctic - temperate,2.432943797325448,0.022464938059421242,PleD,aa_proline_count_prop
"cold, non-Antarctic - temperate",-13.101076147641193,4.869329284876653e-39,PleD,aa_proline_count_prop
"cold, non-Antarctic - temperate",2.2759106428991194,0.03427703754779419,RsbU,aa_proline_count_prop
Antarctic - temperate,-2.1908902300206643,0.014229868458155296,LytTR,aa_proline_count_prop
"Antarctic - cold, non-Antarctic",5.224460226841586,2.6199579655087337e-7,Hybrid,aa_glycine_count_prop
Antarctic - temperate,2.3929843041437575,0.02506793399437684,Hybrid,aa_glycine_count_prop
"cold, non-Antarctic - temperate",-6.258200573592192,5.841671263696542e-10,Hybrid,aa_glycine_count_prop
"Antarctic - cold, non-Antarctic",7.0990935109925015,1.883667354939854e-12,CheY,aa_glycine_count_prop
Antarctic - temperate,3.9629247898741364,1.1105566668651972e-4,CheY,aa_glycine_count_prop
"cold, non-Antarctic - temperate",-7.465318540125042,1.246475048287667e-13,CheY,aa_glycine_count_prop
"Antarctic - cold, non-Antarctic",7.9202614694567535,3.555174638560833e-15,Classic,aa_glycine_count_prop
Antarctic - temperate,4.927034048198935,1.2523081660974353e-6,Classic,aa_glycine_count_prop
"cold, non-Antarctic - temperate",-6.994090580186501,4.0047754745243716e-12,Classic,aa_glycine_count_prop
"Antarctic - cold, non-Antarctic",7.545235000696101,6.772089748733413e-14,OmpR,aa_glycine_count_prop
Antarctic - temperate,6.236049739667358,6.731376977517565e-10,OmpR,aa_glycine_count_prop
"cold, non-Antarctic - temperate",-3.8734338872059118,1.6096879124211067e-4,OmpR,aa_glycine_count_prop
"Antarctic - cold, non-Antarctic",6.768820134834979,1.9475524756824586e-11,NarL,aa_glycine_count_prop
Antarctic - temperate,4.972892444725651,9.894189126308204e-7,NarL,aa_glycine_count_prop
"cold, non-Antarctic - temperate",-4.9512402316618145,1.1061300759750868e-6,NarL,aa_glycine_count_prop
"cold, non-Antarctic - temperate",-7.011381276856216,3.5396503035903216e-12,HPt,aa_glycine_count_prop
Antarctic - temperate,2.4736266993583618,0.02006240542006868,RpfG,aa_glycine_count_prop
"Antarctic - cold, non-Antarctic",-3.1022453268904755,0.0028808808344989692,CheA,aa_glycine_count_prop
"cold, non-Antarctic - temperate",9.636833055006543,8.382827324774723e-22,CheA,aa_glycine_count_prop
Antarctic - temperate,2.7175390635435295,0.009865408675194892,PleD,aa_glycine_count_prop
"Antarctic - cold, non-Antarctic",-4.62222111851858,5.694795255449652e-6,RsbU,aa_glycine_count_prop
"cold, non-Antarctic - temperate",11.729729021259649,1.3461827964385582e-31,RsbU,aa_glycine_count_prop
Antarctic - temperate,2.8617224721042027,0.006320185167070829,HisKa,aa_glycine_count_prop
"cold, non-Antarctic - temperate",2.8665373703198984,0.006224837411229119,HisKa,aa_glycine_count_prop
"cold, non-Antarctic - temperate",-2.5982099172057316,0.014056677962628843,VieA,aa_glycine_count_prop
"Antarctic - cold, non-Antarctic",-4.598895925309398,6.371038313943971e-6,Hybrid,aa_serine_count_prop
Antarctic - temperate,-2.545207962558927,0.01638190110503701,Hybrid,aa_serine_count_prop
"cold, non-Antarctic - temperate",4.711116948969921,3.6954420283902287e-6,Hybrid,aa_serine_count_prop
"Antarctic - cold, non-Antarctic",-4.0331801998644705,8.254057503959971e-5,CheY,aa_serine_count_prop
Antarctic - temperate,-2.7173364262447377,0.009871451414842924,CheY,aa_serine_count_prop
"cold, non-Antarctic - temperate",3.3236149918850755,0.0013328816962422025,CheY,aa_serine_count_prop
"Antarctic - cold, non-Antarctic",-3.252417572318647,0.0017164166921087229,Classic,aa_serine_count_prop
"cold, non-Antarctic - temperate",6.572135240370055,7.439817099646079e-11,Classic,aa_serine_count_prop
"Antarctic - cold, non-Antarctic",-2.6124289700671426,0.013485205724632635,OmpR,aa_serine_count_prop
"cold, non-Antarctic - temperate",5.037563423046388,7.072430305936733e-7,OmpR,aa_serine_count_prop
"cold, non-Antarctic - temperate",2.581326256577469,0.014763227821488482,unclassified,aa_serine_count_prop
"cold, non-Antarctic - temperate",-5.982121846486407,3.303741119965706e-9,PleD,aa_serine_count_prop
"Antarctic - cold, non-Antarctic",3.420919468855671,9.361471425087138e-4,RsbU,aa_serine_count_prop
"cold, non-Antarctic - temperate",-9.036923306854574,2.4171503682788982e-19,RsbU,aa_serine_count_prop
"Antarctic - cold, non-Antarctic",-5.828379109264871,8.395247806110217e-9,HisKa,aa_serine_count_prop
Antarctic - temperate,-4.034113978821364,8.221306624255721e-5,HisKa,aa_serine_count_prop
"cold, non-Antarctic - temperate",5.150162143442922,3.903920425310755e-7,HisKa,aa_serine_count_prop
"Antarctic - cold, non-Antarctic",5.68857188196316,1.9215927973843674e-8,Hybrid,r_k_ratio
Antarctic - temperate,7.534978878776235,7.326208100870016e-14,Hybrid,r_k_ratio
"cold, non-Antarctic - temperate",2.14851342340086,0.04750948677920905,Hybrid,r_k_ratio
"Antarctic - cold, non-Antarctic",3.7343573182810648,2.822927198468955e-4,CheY,r_k_ratio
Antarctic - temperate,5.244581524517826,2.3495615317282887e-7,CheY,r_k_ratio
"cold, non-Antarctic - temperate",2.2968347814623793,0.032442294890007065,CheY,r_k_ratio
"Antarctic - cold, non-Antarctic",3.794026353352767,2.2233589774348843e-4,Classic,r_k_ratio
Antarctic - temperate,9.303429643281214,2.0398036332031362e-20,Classic,r_k_ratio
"cold, non-Antarctic - temperate",9.043042139966564,2.285566551945602e-19,Classic,r_k_ratio
"Antarctic - cold, non-Antarctic",3.462605418185276,8.024584521636087e-4,OmpR,r_k_ratio
Antarctic - temperate,4.0531711407913145,7.579201578063103e-5,OmpR,r_k_ratio
"Antarctic - cold, non-Antarctic",2.6375421736805924,0.012526386130561716,unclassified,r_k_ratio
Antarctic - temperate,3.720548559674115,2.981857687978142e-4,unclassified,r_k_ratio
"Antarctic - cold, non-Antarctic",4.818091350735112,2.1740701990292642e-6,NarL,r_k_ratio
Antarctic - temperate,5.125200985311723,4.458307762361388e-7,NarL,r_k_ratio
"Antarctic - cold, non-Antarctic",2.3781943221140693,0.02609648229005255,HPt,r_k_ratio
"cold, non-Antarctic - temperate",-3.555183244865525,5.66573622956295e-4,HPt,r_k_ratio
"Antarctic - cold, non-Antarctic",6.109719741779594,1.4970937321876013e-9,PleD,r_k_ratio
Antarctic - temperate,2.8463715974791195,0.006633083838893751,PleD,r_k_ratio
"cold, non-Antarctic - temperate",-8.259627366229394,2.1919190004639283e-16,PleD,r_k_ratio
Antarctic - temperate,2.7296625778035826,0.009509876938911893,CheB,r_k_ratio
Antarctic - temperate,2.6394555385049983,0.012455897232908854,CyC-C,r_k_ratio
"cold, non-Antarctic - temperate",2.3989110434559673,0.024665863455272684,CyC-C,r_k_ratio
"Antarctic - cold, non-Antarctic",6.043285661064448,2.2651041480380393e-9,HisKa,r_k_ratio
Antarctic - temperate,2.8144861465776487,0.007328292501233959,HisKa,r_k_ratio
