Table S3.5 HK domain architecture with corresponding categorical architecture of Antarctic cyanobacteria,,,,
organism_name,categorized_architecture,type,locus,domain_architecture
Nostoc cf. commune SO-36,Linker - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS21780,HAMP - PAS_4 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Linker - Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS27040,HAMP - PAS_4 - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Linker - Sensor - Transmitter - Transmitter - Receiver - Receiver - Receiver,Hybrid,ANSO36C_RS17170,HAMP - GAF - HisKA - HATPase_c - Response_reg - Response_reg - Response_reg
Nostoc cf. commune SO-36,Linker - Transmitter - Transmitter,Classic,ANSO36C_RS09850,HAMP - HisKA - HATPase_c
Nostoc cf. commune SO-36,Linker - Transmitter - Transmitter,Classic,ANSO36C_RS18460,HAMP - HisKA - HATPase_c
Nostoc cf. commune SO-36,Linker - Transmitter - Transmitter,Classic,ANSO36C_RS26115,HAMP - HisKA - HATPase_c
Nostoc cf. commune SO-36,Linker - Transmitter - Transmitter,Classic,ANSO36C_RS29100,HAMP - HisKA - HATPase_c
Nostoc cf. commune SO-36,Linker - Transmitter - Transmitter,Classic,ANSO36C_RS30285,HAMP - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS02870,Response_reg - Response_reg - PAS - PAS - GAF - GAF - GAF - PAS_4 - PAS_3 - PAS_3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Receiver - Sensor - Sensor - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS21345,Response_reg - Response_reg - PAS_4 - PAS - GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Receiver - Sensor - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS15060,Response_reg - Response_reg - PAS_4 - PAS - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Receiver - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS21755,Response_reg - Response_reg - PAS - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Receiver - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS23205,Response_reg - Response_reg - PAS_3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter,Classic,ANSO36C_RS30160,Response_reg - GAF - PAS_3 - PAS_3 - PAS_3 - PAS_4 - HisKA
Nostoc cf. commune SO-36,Receiver - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS00260,Response_reg - PAS - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS06665,Response_reg - PAS - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Sensor - Transmitter - Transmitter,Hybrid,ANSO36C_RS07140,Response_reg - PAS_4 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter,Hybrid,ANSO36C_RS11660,Response_reg - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter,Classic,ANSO36C_RS14030,Response_reg - HisKA
Nostoc cf. commune SO-36,Receiver - Transmitter,Classic,ANSO36C_RS19420,Response_reg - HisKA
Nostoc cf. commune SO-36,Receiver - Transmitter - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS17490,CheB_methylest - MeTrc - PAS_4 - PAS - HisKA - HATPase_c - Response_reg
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS00405,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS00710,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS08675,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS10235,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS10240,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS14770,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS23630,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Receiver - Transmitter - Transmitter,Hybrid,ANSO36C_RS32870,Response_reg - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Linker - Sensor - Transmitter,Classic,ANSO36C_RS29780,Cache_1 - HAMP - GAF - HisKA
Nostoc cf. commune SO-36,Sensor - Linker - Sensor - Transmitter - Transmitter - Receiver - Receiver - Receiver,Hybrid,ANSO36C_RS29685,CHASE3 - HAMP - GAF - HisKA - HATPase_c - Response_reg - Response_reg - Response_reg
Nostoc cf. commune SO-36,Sensor - Linker - Transmitter - Transmitter,Classic,ANSO36C_RS12975,Cache_1 - HAMP - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Linker - Transmitter - Transmitter,Classic,ANSO36C_RS15775,Cache_1 - HAMP - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS07040,PAS_3 - PAS_3 - PAS_4 - GAF - GAF - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver - Receiver,Hybrid,ANSO36C_RS23180,PAS_3 - PAS_3 - PAS_3 - PAS - PAS_4 - HisKA - HATPase_c - Response_reg - REC
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Transmitter,Classic,ANSO36C_RS05140,GAF - GAF - GAF - PHY - HisKA
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Transmitter,Classic,ANSO36C_RS09840,PAS_3 - PAS - GAF - GAF - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS00720,CBS - PAS - PAS_4 - PAS_3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS02890,PAS_3 - PAS_3 - GAF - PAS - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter,Classic,ANSO36C_RS15070,GAF - GAF - PAS_4 - PAS_3 - HisKA - HATPase_c
Nostoc cf. commune SO-36,Sensor - Sensor - Sensor - Sensor - Transmitter - Transmitter - Receiver,Hybrid,ANSO36C_RS07215,GAF - GAF - GAF - PAS_3 - HisKA - HATPase_c - Response_reg
