accession,organism_name,organism_tidy_name,country,isolation_source,genome_size,cell_type,temp_cat,classic,hybrid,unorthodox,h_pt,his_ka,che_a,ntr_c,prr_a,omp_r,nar_l,cy_c_c,lyt_tr,spo0a,yes_n,che_b,rpf_g,che_v,rsb_u,ami_r_nas_r,ple_d_vie_a,ple_d,vie_a,cit_t,che_y,csr_a,ycb_b,pil_b,lys_r,ars_r,frz_z,sarp,mer_r,bet_r,alp_a,hxl_r,xre,che_c,trx_b,lmb_e,wca_a,pgl_z,vie_b,hal_x,icl_r,unclassified
GCA_000214075.2,Microcoleus vaginatus FGP-2,Microcoleus_vaginatus_FGP_2,USA,desert soil crust,6698929,filament,temperate,105,69,5,3,1,3,0,0,12,8,8,0,0,0,1,0,0,2,0,4,3,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCF_000230675.1,Synechococcus sp. WH 8016,Synechococcus_sp__WH_8016,USA,Woods Hole; MA,2694843,single,temperate,8,0,0,0,1,1,0,0,8,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCF_000316575.1,Calothrix sp. PCC 7507,Calothrix_sp__PCC_7507,Switzerland,sphagnum bog,7023215,filament,temperate,82,36,3,0,1,4,0,0,13,9,0,0,0,2,1,1,0,3,0,1,2,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
GCF_000316665.1,Rivularia sp. PCC 7116,Rivularia_sp__PCC_7116,USA,unialgal culture in marine water,8728773,filament,temperate,92,49,3,0,2,4,0,0,19,13,0,0,0,1,0,1,0,2,0,2,2,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9
GCF_000316685.1,Synechococcus sp. PCC 6312,Synechococcus_sp__PCC_6312,USA,Fresh water; California; USA.; 1963,3720499,single,temperate,19,8,0,1,1,3,0,0,10,6,0,0,0,0,0,0,0,1,0,2,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
GCF_000317085.1,Synechococcus sp. PCC 7502,Synechococcus_sp__PCC_7502,Switzerland,sphagnum bog,3583735,single,temperate,20,25,2,2,1,4,0,0,8,4,1,0,0,2,1,0,0,2,0,4,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
GCF_000317575.1,Stanieria cyanosphaera PCC 7437,Stanieria_cyanosphaera_PCC_7437,Cuba,Pool at botanical garden; Havana; Cuba,5544990,single,temperate,51,22,0,1,1,7,0,0,25,10,0,0,0,0,1,1,0,1,0,6,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
GCF_000332055.1,Xenococcus sp. PCC 7305,Xenococcus_sp__PCC_7305,USA,marine aquarium; La Jolla; CA,5929641,agregate,temperate,37,13,0,1,3,7,0,0,17,6,1,0,0,0,1,1,0,2,0,7,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
GCF_000332075.2,Synechocystis sp. PCC 7509,Synechocystis_sp__PCC_7509,Switzerland,rock scraping,4908825,single,temperate,39,21,1,0,2,5,0,0,12,6,0,0,0,1,1,1,0,1,0,1,0,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
GCF_000332215.1,Pseudanabaena biceps PCC 7429,Pseudanabaena_biceps_PCC_7429,Switzerland,Sphagnum bog; near Kastanienbaum; Vierwaldstattersee; Switzerland; 1972,5476421,filament,temperate,46,54,7,4,1,5,0,0,10,7,0,0,0,0,1,0,0,2,0,6,8,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
