genome,locus,index_locus,class,type,tm,p2rp_description
GCA_009995885.1,GPJ22_00350,70,HK,Classic,0,"Histidine kinase, Classic contains 1 GAF,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_01150,228,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995885.1,GPJ22_01445,286,RR,PleD,0,"Response regulator, PleD family contains 1 Response_reg,1 GGDEF"
GCA_009995885.1,GPJ22_02400,473,PP,HPt,0,Phosphotransfer protein contains 1 Hpt
GCA_009995885.1,GPJ22_02600,513,PP,HisKa,0,Phosphotransfer protein contains 1 HisKA
GCA_009995885.1,GPJ22_03030,598,HK,CheA,0,"Histidine kinase, CheA contains 1 H-kinase_dim,1 HATPase_c,1 CheW,2 Response_reg"
GCA_009995885.1,GPJ22_03145,621,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995885.1,GPJ22_03535,698,RR,RsbU,0,"Response regulator, RsbU family contains 1 Response_reg,1 SpoIIE"
GCA_009995885.1,GPJ22_04795,948,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 GAF,1 HisKA,1 HATPase_c,1 Response_reg"
GCA_009995885.1,GPJ22_05260,1041,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995885.1,GPJ22_05285,1046,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995885.1,GPJ22_05520,1092,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995885.1,GPJ22_05750,1137,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_05825,1152,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995885.1,GPJ22_06610,1306,HK,Classic,1,"Histidine kinase, Classic contains 1 HAMP,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_06660,1316,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995885.1,GPJ22_07045,1393,PP,HPt,0,Phosphotransfer protein contains 1 Hpt
GCA_009995885.1,GPJ22_08765,1735,HK,Classic,3,"Histidine kinase, Classic contains 1 HAMP,1 PAS_4,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_09200,1820,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_4,2 GAF,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_09330,1845,HK,Classic,0,"Histidine kinase, Classic contains 1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_09780,1934,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995885.1,GPJ22_09855,1949,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995885.1,GPJ22_10380,2054,RR,NarL,0,"Response regulator, NarL family contains 1 Response_reg,1 HTH_LUXR"
GCA_009995885.1,GPJ22_11220,2220,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_12475,2471,RR,OmpR,0,"Response regulator, OmpR family contains 1 Response_reg,1 Trans_reg_C"
GCA_009995885.1,GPJ22_12900,2555,HK,Classic,0,"Histidine kinase, Classic contains 1 PAS_2,1 GAF,1 PHY,1 HisKA,1 HATPase_c"
GCA_009995885.1,GPJ22_12905,2556,RR,CheY,0,"Response regulator, CheY family contains 1 Response_reg"
GCA_009995885.1,GPJ22_12910,2557,HK,Hybrid,0,"Histidine kinase, Hybrid contains 1 Response_reg,1 HisKA,1 HATPase_c"
