Table S1.1 Metadata of cyanobacteria whole genomes sampled from temperate and cold-freezing environments,,,,,,,,,,
accession,organism_name,country,isolation_source,genome_size,cell_type,gc_percentage,check_m_completeness,check_m_contamination,salt_fresh,temp_cat
undocumented,Timeviella sp.,Antarctica,"purple mat, Lake Hoare, Antarctica",5311639,filament,48.87,98.82,0.86,fresh,cold-freezing
GCA_000214075.2,Microcoleus vaginatus FGP-2,USA,desert soil crust,6698929,filament,46.0353678,99.67,0,soil,temperate
GCF_000230675.1,Synechococcus sp. WH 8016,USA,Woods Hole; MA,2694843,single,54.09446858,99.18,0,salt,temperate
GCF_000316575.1,Calothrix sp. PCC 7507,Switzerland,sphagnum bog,7023215,filament,42.24716173,99.11,0.44,fresh,temperate
GCF_000316665.1,Rivularia sp. PCC 7116,USA,unialgal culture in marine water,8728773,filament,37.531621,99.78,1.22,salt,temperate
GCF_000316685.1,Synechococcus sp. PCC 6312,USA,Fresh water; California; USA.; 1963,3720499,single,48.50470327,99.29,0,fresh,temperate
GCF_000317085.1,Synechococcus sp. PCC 7502,Switzerland,sphagnum bog,3583735,single,40.62113968,99.76,0,mineral,temperate
GCF_000317575.1,Stanieria cyanosphaera PCC 7437,Cuba,Pool at botanical garden; Havana; Cuba,5544990,single,36.22323936,99.56,0.44,fresh,temperate
GCF_000332055.1,Xenococcus sp. PCC 7305,USA,marine aquarium; La Jolla; CA,5929641,agregate,39.67824326,99.78,0.22,salt,temperate
GCF_000332075.2,Synechocystis sp. PCC 7509,Switzerland,rock scraping,4908825,single,41.67287199,99.67,0,stone,temperate
GCF_000332215.1,Pseudanabaena biceps PCC 7429,Switzerland,Sphagnum bog; near Kastanienbaum; Vierwaldstattersee; Switzerland; 1972,5476421,filament,43.17816326,99.29,1.18,NA,temperate
GCF_000332295.1,Fortiea contorta PCC 7126,USA,freshwater aquarium,5742264,filament,42.20327394,99.56,0.22,fresh,temperate
GCF_000332315.1,Prochlorothrix hollandica PCC 9006 = CALU 1027,Netherlands,Water; lake; Lake Loosdrecht; The Netherlands,5646343,filament,54.4045589,99.18,0.86,NA,temperate
GCF_000340565.2,Nodularia spumigena CCY9414,Denmark: Bornholm,brackish water from the Baltic Sea,5462271,filament,41.22594057,99.78,0.67,salt,temperate
GCF_000484535.1,Gloeobacter kilaueensis JS1,USA: Hawaii,cave entrance,4724791,single,60.53681528,98.29,1.14,stone,temperate
GCA_000708525.1,Cyanobium sp. CACIAM 14,Brazil,5 liters of water from the Tucurui Power Plant Reservoir; point M5 collected 50cm beneath the lake surface; then filtered by negative pressure for posterior culture in BG-11 medium,3212489,single,68.56122108,98.51,0.09,fresh,temperate
GCF_000734895.2,Calothrix sp. 336/3,Finland: Enajarvi,water,6420126,filament,41.09693486,100,0,NA,temperate
GCF_000737535.1,Synechococcus sp. KORDI-100,Pacific Ocean,seawater,2789000,single,57.49809968,99.46,0,salt,temperate
GCF_000737575.1,Synechococcus sp. KORDI-49,Pacific Ocean: East China Sea,seawater,2585813,single,61.36777872,99.37,0,salt,temperate
GCF_000737595.1,Synechococcus sp. KORDI-52,Pacific Ocean: East China Sea,seawater,2572069,single,59.08527337,100,0,salt,temperate
GCF_000760695.4,Tolypothrix bouteillei VB521301,India: Shantiniketan; West Bengal,stone monuments,9949079,filament,41.72791634,99.76,1.04,stone,temperate
GCF_001040845.1,Synechococcus sp. WH 8020,Atlantic Ocean,water sample,2661166,single,53.14002961,99.73,0.27,salt,temperate
GCA_001264245.1,Microcystis panniformis FACHB-1757,China: Wuxi,Lake Taihu water,5686839,single,42.35461915,98.79,0.84,NA,temperate
GCF_001402795.1,Pseudanabaena sp. 'Roaring Creek',USA: PA; Roaring Creek Reservoir,freshwater,5477812,filament,43.33432765,99.06,1.06,fresh,temperate
GCF_001586785.1,Sphaerospermopsis aphanizomenoides BCCUSP55,Brazil: Jucazinho water supply reservoir; PE,water,6096273,filament,38.4656484,99.44,0.89,NA,temperate
GCA_001593825.2,Aphanizomenon flos-aquae UKL13-PB,USA: Upper Klamath Lake; OR,UKL13 co-culture; a single cyanobacterial colony from a depth-integrated water sample grown as a non-axenic culture,4484012,filament,37.0400213,99.67,0.22,fresh,temperate
GCF_001623485.1,Nodularia spumigena CENA596,Brazil: Praia do Cassino; Rio Grande; Rio Grande do Sul,shrimp pond,5189679,filament,41.19679487,99.93,0.33,fresh,temperate
GCF_001650195.1,Phormidesmis priestleyi BC1401,Greenland: West Greenland Ice Sheet,Cryoconite,5551896,filament,49.16811045,99.29,0.94,NA,cold-freezing
GCA_001672075.1,Anabaena sp. CRKS33,USA: Cheney Reservoir; WA,lake water,4950014,filament,37.59880275,99.67,1.78,fresh,temperate
GCA_001672085.1,Anabaena sp. AL93,USA: American Lake; WA,non-pure culture,5662506,filament,38.35625075,99.67,0.52,fresh,temperate
GCA_001672095.1,Aphanizomenon flos-aquae MDT14a,USA: Upper Klamath Lake; OR,lake water,4632587,filament,37.11297813,99,1,fresh,temperate
GCA_001672155.1,Anabaena sp. WA113,USA: Cranberry Lake; WA,lake water,4695440,filament,37.22055867,99.89,0.44,fresh,temperate
GCA_001672165.1,Aphanizomenon flos-aquae LD13,USA: Upper Klamath Lake; OR,non-pure culture,4439448,filament,37.05278224,99.67,0.37,fresh,temperate
GCA_001698425.1,Oscillatoriales cyanobacterium USR001,Singapore,co-culture originated from a tropical freshwater lake,5872787,filament,40.95585644,98.36,0.22,fresh,temperate
GCA_001698435.1,Nostoc sp. MBR 210,Singapore,co-culture originated from a tropical freshwater lake,6931753,filament,40.58442097,99.66,0.56,fresh,temperate
GCA_001698445.1,Limnothrix sp. P13C2,Singapore,co-culture originated from a tropical freshwater lake,4583806,filament,55.28411164,99.37,0,fresh,temperate
GCF_001712795.1,Nostoc sp. KVJ20,Norway: Troms; Kvaloya island,Symbiotic tissue of Blasia pusilla L.,9184886,filament,41.69293934,99.67,0.89,plant,cold-freezing
GCF_001747005.1,Cyanobacterium sp. IPPAS B-1200,Kazakhstan: Lake Balkhash,lake water,3410249,NA,37.72560303,99.34,0,fresh,temperate
GCF_001767235.1,Moorena producens PAL-8-15-08-1,Pacific Ocean: Palmyra Atoll,shallow tropical waters; normally from coral reef substrate,9708656,filament,43.51732424,99.26,1.37,salt,temperate
GCF_001858025.1,Trichormus sp. NMC-1,China: Namucuo Lake; Namucuo County; Tibet,saltwater lake,5938148,filament,39.18528335,99,1.41,salt,cold-freezing
